nahuatl,spanish
In mochiua kampa eski komo se kitoka.,Se da en cualquier parte si uno lo siembra.
"Axcan sábado yn ic 22 mani metztli junio de 1613 || 225 años, yhcuac moman tiyanquiztli yn totlaçonantzin Visitación yhuan mihtohua Nuestra Señora de la Biedad Huehuetlan, yn oncan moyetzticate teopixque Sancto Domingo.","El sábado 22 de junio de 1613 se puso un nuevo mercado en la Visitación de Nuestra Señora, que también se llama Nuestra Señora de la Piedad Huehuetlan, donde se hallan los religiosos de Santo Domingo."
Yn ipan axcan lunes a veynte dias del mes de abril de mil e quinientos noventa y dos años yn Diego Aztaxochitl otzatzic yn ipan tlaxilacalli Texcalcocolco oquitecaquiti ynic quinamaca yn ical Mariana chiquacenpohualli quitema ce tlacatl español Luis Zavallos au yn iquac otzatzic ayac tle yc otlananquilli testigo Francisco de Mendoza.,"Oy lunes a veynte dias del mes de abril de mil quinientos y noventa y dos años, el dicho pregonero Diego Aztaxochitl apregonó en el barrio [tlaxilacalli] de Texcalcocolco y dio a entender cómo Vende su casa Mariana y dan por [F. 10r.] ella ciento y Veynte pesos un español que se llama Luis Savallos y no ubo quien puxase. Testigo Francisco de Mendoza."
"Yn ocontlallique niman concuique yn imitac, auh yc niman ye tlaquazquia yn azteca yn iquac niman ynpan poztec yn huey quahuitl.","Después de colocarlo allí, los aztecas sacaron sus itacates, y se disponían a comer cuando sobre ellos se quebró el árbol grande."
"Cualica, nehua nis naquiz notlaquen tlitic, ica iztac iquechcuayotl. Cualli timomoyancuiquixtiz in moyancuic tlaquentlapacholli inon cemana opanoc otimocohui. ¿Quexquich inpatin amatoncalacoayan?","Bueno, yo voy a ponerme mi traje negro, con el cuello blanco. Puedes estrenar al mismo tiempo tu abrigo nuevo, el que compraste la semana pasada. ¿Cuánto cuestan los boletos?"
"Nochi tlen tiquijyohuiyaj, tiquijyohuiyaj para temechpalehuiyaj.Niman para ijcon quen más miyequej quiseliaj itlatiochihualis Dios, no más miyequej ma quimacacan tlaxtlahuijli para yejhua quiselis más hueyilistli.","Porque todas estas cosas suceden por causa vuestra para que, mientras aumente la gracia por medio de muchos, abunde la acción de gracias para la gloria de Dios"
"¿Tlinon, tej, ticchihuasquej?¿Más titlajtlacosquej pampa on tlanahuatijli xejhua techyecana yej techyecana iteicnelilis Dios?¡Melahuac, tej, ica ca!","¿Qué, pues?¿Pecaremos, porque no estamos bajo la ley, sino bajo la gracia?¡De ninguna manera"
"Aihmo omocauh in federal ica xolalpampa. Ye yiman tica on zapatistas otlecoque ipan tepetl Teuhtzin. Oquinchololtique federales ica San Gregorio, Xochimilco mate oquimaxitique ompan Churubusco.","Ya no quedó ni un federal por las calles. Para entonces los zapatistas se habían posesionado del cerro del Teuhtli. Corrieron los federales hacia San Gregorio y Xochimilco, hasta llegar a Churubusco."
Yn aquin yuh quichihuaz cenca tlatzacuiltiloz yn iuh ca justicia ynic ticneltilia nican tictlallia yn totoca yhuan tofirma a xxviii dias del mes de marzo de mil e quinientos e cincuenta y siete años. Don Cristoval de Guzman [rúbrica] Don Luys de Santa Maria alcalde [rúbrica] Tomas de Aquino alcalde [rúbrica] Pasó ante mi Juan Pablo escribano.,"Quien así lo hiciere será castigado, así lo dispone la justicia; para confirmar aquí ponemos nuestro nombre y nuestra firma a 28 dias del mes de marzo de mil quinientos y cincuenta y siete años. Don Cristobal de Guzmán, Don Luys de Santa María alcalde, Tomás de Aquino alcalde. Paso ante mí Juan Pablo escribano."
E yuh XV xiuitl tlantocanti yn omomoztique mexica.,Cuacuauhpitzáhuac llevaba 15 años gobernando cuando los mexicas erigieron un altar.
Yn iquac momomoztique Omaca xiuitl ypa; ycuac no molpi yn ixiuh.,Los mexicas erigieron su altar en el año 2 Ácatl 1299; y también entonces se ataron sus años.
"Auh ynic teoyotica tlahtohuani ynic arçobispo omoyetzticatca Mexico yexihuitl ypan nauhtetl metztli ypan cenpohuallonnahui tonatiuh yn axcan ypan yc omomiquillico; auh ynic tlalticpacayotica omotlahtocatilli ynic visurrei omochiuhtzinoticatca çan chicuetetl metztli ypan nahuilhuitl, yn axcan ypan yc cemilhuitl miércoles omomiquillico.","Llevaba tres años, cuatro meses y 24 días como arzobispo de México cuando murió; y como virrey fue gobernante civil durante ocho meses y cuatro días, hasta este día miércoles en que murió."
Ca ye yzqui xihuitl oquichiuh ynic axcan ypan in yn itlamian yxiuhtzin totecuiyo Dios de 1608 años.,"Esos años se cumplen ahora, en este final del año de Dios nuestro señor de 1608."
Yn aquin chalaniz in tlatlacoz yc tlatzacuiltilloz in mellahuac justicia caltzaqualloz in carcel yhuan ompohualpa mecahuitecoz teyxpan yuh omotlanahuatilli yc oquineltilili yn itocatzin yhuan yfirmatzin. Antonio Valeriano. Ante mi Francisco Maldonado escrivano.,"Y el que el pusiere pleyto será castigado y se ará justicia y será puesto en la carcel y le serán dados quarenta azotes públicamente y asi lo mandó e pronunció y lo firmó de su nombre. Ante my Francisco Maldonado, el escribano. Antonio Valeriano."
"Iztatl, ixquich in monequiz",Sal al gusto
"Yhuan cenca miec yn apachiuh yn acallac yn incal españolesme, yc mocalcauhque; yhuan cequi miec yn actihuetz yn papachiuh yncal, çan tel yehuatl yn xancalli tzitzinciyahuac ynic huallaactihuetz.","Muchas casas de españoles se inundaron, y por eso las abandonaron; y a otros se les cayeron las casas, porque los adobes de la base se reblandecían y las casas se caían."
"Yn ipan axcan juebes a XXIIII de março de 1594 años, yquac molnamic yn imiquillitzin tlahtohuani visurrey yn huehue don Luis de Velasco catca, yn itatzin catca totlahtocauh visurrey yn axcan moyetztica, yn quenin mochiuh yn iquac momiquilli yn ipan xihuitl mill y quinientos y sesenta y quatro años, in ye axcan cenpohualli onmatlactli xihuitl ypan yey metztli.","El jueves 24 de marzo de 1594 se recordó la muerte del señor virrey don Luis de Velasco el Viejo, padre de nuestro actual señor virrey, que murió en el año de 1564, hace 30 años y tres meses."
Tlaltecatzin icuic,El poema de Tlaltecatzin
"On xcuajli yolqui niman on reyes notlanisquej ihuan on Borreguito.Pero on Borreguito quintlanis pampa toTeco yejhua inTeco impan nochimej on tetecohuan niman Rey impan nochimej on reyes.Niman on yejhuan nemij ihuan on Borreguito, Dios oquinnotz niman oquintlapejpenij, niman cuajli onohuicaquej ihuan on Borreguito.","Ellos harán guerra contra el Cordero, y el Cordero los vencerá, porque él es Señor de señores y Rey de reyes, y los que están con él son llamados y elegidos y fieles."
"para Cristo ma nemi ipan nemoyojlo itechcopa nemotlaneltoc.Niman nictlajtlanilia Dios para nemejhuamej xmocojtilican ipan on tetlajsojtlalistli yejhuan nenquipiaj quen se cojtli yejhuan huejcatlan noquitzquia ican inelhuayo, niman quen se cajli yejhuan huejcatlan tzimpehua.","para que Cristo habite en vuestros corazones por medio de la fe; de modo que, siendo arraigados y fundamentados en amor"
"Niman ijcuac opeu niquinnojnotza, on Espíritu Santo impan ohuajlaj ijcon quen topan ohuajlaj ijcuac quemach yeica topan oyejcoc.","Cuando comencé a hablar, el Espíritu Santo cayó sobre ellos también, como sobre nosotros al principio"
Ca ye yzqui xihuitl oquichiuh ynic axcan ypan in yn itlamian yxiuhtzin totecuiyo Dios de 1608 años.,"Esos años se cumplen ahora, en este final del año de Dios nuestro señor de 1608."
"Dios techyoltlalia ipan nochi on tlin techpajsolohua, para tejhuamej no huelis tiquinyoltlalisquej on yejhuan quipiaj tepajsolohualistli.Niman tiquinyoltlalisquej ican on sa no yejhua teyoltlalijli yejhuan Dios ica techyoltlalia.","quien nos consuela en todas nuestras tribulaciones.De esta manera, con la consolación con que nosotros mismos somos consolados por Dios, también nosotros podemos consolar a los que están en cualquier tribulación"
"Ynic huel omollini tlalli nican ciudad Mexico yhuan yn hueyapanatl yn Tepetzinco mani ynic ompa onacitimani Tetzcocopa; cenca quiquinacatimanca ynic poçonia ynic molliniaya, yhuan yn occequi atl quiyahualotoc ciudad Mexico cenca mochi quiquinacaya ynic poçonia ynic macocuia.","Se movió la tierra en la ciudad de México y también en el gran canal de Tepetzinco que está rumbo a Tetzcoco; éste hacía mucho ruido al hervir y moverse, y asimismo las demás aguas que rodean a la ciudad de México hacían mucho ruido al hervir y alzarse."
"¿Aquinomej, tej, on yejhuan oquicaquej Dios ijcuac oquinnotz, niman xoquitlacamatquej?On sa no yejhuamej on yejhuan Moisés oquinquixtij ne ipan on país itoca Egipto.",Porque ¿quiénes fueron aquellos que habiendo oído le provocaron?¿No fueron todos los que salieron de Egipto con Moisés
"Axcan juebes yn ic 26 mani metztli setiembre de 1613 años, yhcuac ye yohua ynic hualyohuac maxitico çan mochtacacallaquico yn nican ciudad Mexico in cenca mahuiztililoni teoyotica tlahtohuani doctor don Juan Pérez de la Serna arçobispo Mexico, ynin clérigo Çamora ychantzinco; ayac quittac in nican tlaca Mexico ynic hualmocallaqui ychantzinco ayac quimonamiquilli, auh yn huallathuic viernes ye ychantzinco moyetztica, çan oc motzauhctzinoticatca ayemo moteyttititzino.","El jueves 26 de septiembre de 1613, al anochecer, llegó y entró en secreto a la ciudad de México el muy reverendo señor doctor don Juan Pérez de la Serna, arzobispo de México, clérigo que era originario de Zamora; ninguno de los pobladores de México lo vio o se lo encontró cuando entró a su casa, y al amanecer del viernes ya se hallaba en su casa, donde permaneció encerrado sin dejarse ver de nadie."
"Pero masqui nemechijlia on tlen melahuac yejhuan Dios yonechijlij, nemejhuamej nenquinequij nennechmictisquej.¡Abraham xqueman itlaj ijcon oquichiu!","Pero ahora procuráis matarme, hombre que os he hablado la verdad que oí de parte de Dios.¡Esto no lo hizo Abraham"
"Auh yn ixquich otli yn huehuey otli mochi apachiuh; cocoton in Tepeyacac yn Cohuatlayauhcan, in Sant Miguel otli yn Tlacopan, Azcapotzalco, huel nohuian apachiuh.","Todas las calzadas y caminos se inundaron; se cortó la calzada del Tepeyac en Cohuatlayauhcan, el camino de San Miguel en Tacuba y Azcapotzalco, todos se inundaron."
"Axcan domingo yn ic 2 mani metztli febrero de 1614 años, yhcuac huel ypan ylhuitzin totlaçonantzin de la Furipicación de la Candelaria, yohualtica ypan ce tzillini, ynic ye tlathuitiuh axcan omoteneuh domingo, yn oquitlallique oncan escuellas real ynic oquimacaque yn latintlahtolcopa yn teoamoxtemachtilamapohualiztli yn padre maestro fray Gonçalo de Hermosillo teopixqui Sant Augustín ynic cathetrádico de escriptura omochiuh, yxiptla ypatca muchiuh yn yn cenca mahuiztililoni teoyotica tlahtohuani maestro don fray Diego de Contreras arçobispo omochiuhtzino yn ompa ayhtic Sancto Domingo la ysla, cathetrádico moyetzticatca.","El domingo 2 de febrero de 1614, fiesta de la Purificación de Nuestra Señora o de la Candelaria, a la una de la madrugada, en la universidad real le dieron nombramiento al padre maestro fray Gonzalo de Hermosillo, religioso de San Agustín, otorgándole la lección en latín de la sagrada escritura, para que fuera catedrático de escritura en sustitución del muy reverendo maestro don fray Diego de Contreras, que había sido nombrado arzobispo de la isla de Santo Domingo."
Yn oc quezqui mocauh Acocolco motecato atlitic.,Unos cuantos se salvaron metiéndose entre las aguas de Acocolco.
Amo mochipaujtani.,No hay que limpiarlo.
"In iteyo kemej moras, pero uitsyoj.","Sus frutos son como las moras, solo que tiene espinas."
ome taman: tein kuali uan simarrón.,Hay dos clases: uno es el bueno y el otro es cimarrón.
"Pero ijcuac on hebreos ne Tesalónica oquimatquej ica Pablo quiteijlijticatca itlajtoltzin Dios ne Berea, ompa oyajquej niman oquimajcomanquej on tlacamej.","Pero cuando supieron los judíos de Tesalónica que la palabra de Dios era anunciada por Pablo también en Berea, fueron allá para incitar y perturbar a las multitudes"
"'¡Lástima para nemejhuamej fariseos!, pampa ne ipan tiopantin nenquinequij nemotlalisquej ipan on sietas campa notlaliaj on huejhueyixtoquej, niman nenquinequij para ne ipan on plazas ma mechtlajpalocan ican miyec tetlacaitalistli.","¡Ay de vosotros, fariseos!Porque amáis los primeros asientos en las sinagogas y las salutaciones en las plazas"
"Ye ipan in y ye mononotza, ye iuh caxtolli ypan ey xihuitl oncan tlahtocati yn Chalchiuhtepec Chalco yn atentlipan yn Toteociteuhctli yn Tecuachcauhtli, yn mochtin yn chalca acxoteca ye quitohua: ""Aquique yn yn nican totlan cate yn chichimeca, yn iuh nemi, || 53v yn quinyacana yn intlahtocahuan yn Atonaltzin Chichimecateuhctli yhuan yn Tliltecatzin Chichimecayaotequihua?"".","En este año, cuando Toteociteuctli Tecuachcauhtli llevaba 18 años gobernando en Chalchiuhtépec Chalco en la ribera, se reunieron todos los chalcas acxotecas y dijeron: ""¿Quiénes son estos chichimecas que están entre nosotros, viviendo así, y a quienes conducen sus tlatoque Atonaltzin Chichimecateuctli y Tliltecatzin Chichimecayaotequihua?""."
Ipan on tlajcuilolamatl itoca Salmos ijquin quijtohua: Ma tla cajtehua ne ichan niman ma ca sa yacaj chantis ompa.Niman ocsecan no ijquin quijtohua: Ma ocse cajsi itequiu.,"""Porque está escrito en el libro de los Salmos: Sea hecha desierta su morada, y no haya quien habite en ella.Y otro ocupe su cargo"
Ipa se taman saj.,Hay una sola clase.
"Axcan juebes yc 20 mani metztli henero de 1611 años, yhquac ypan ylhuitzin catca San Sebastián, yn mocallaqui Sacramento y yancuic teopan San Sebastián Atzaqualco; yhquac yecauh in yancuic ynteopancal Sant Augustín padreme yhuan atzaqualca yn oncan quiquetzque Ahuatonco.","El jueves 20 de enero de 1611, fiesta de San Sebastián, se depositó el Santísimo Sacramento en la nueva iglesia de San Sebastián en Atzacualco; entonces se terminó de construir la nueva iglesia que los padres de San Agustín y los atzacualcas habían levantado en Ahuatonco."
"Quemaj Pedro oquijlij Jesús: ―Xquita, tejhuamej yoticajquej nochi tlen ticpiayaj, niman tiquistinemij mohuan.","Pedro comenzó a decirle: --He aquí, nosotros hemos dejado todo y te hemos seguido"
Ynic nican tispan oquimomacaque yn ipatiuh calli oconcuic y Miguel Ahuiyeni yhuan yn iteycauh Ana Mocel yhuan yn ichahuana Juana yc neltia nican tictlalia tofirma ynic quimocohuia yn calli Francisco Quahuicequi.,En razon de que en nuestra presencia se dieron los dineros del balor de la casa y los rescibieron Miguel Ahuiani y su hermana Ana Mocel y su madrastra Juana y por firmeza dello y ser verdad lo firmamos y conpró la casa Francisco Quauycequi.
"Tla ijcon, ¿tlinon, tej, tiquijtosquej?¿Tiquijtosquej ica on tlanahuatijli xcuajli?¡Melahuac, tej, ica ca!Yej ocse tlamantic.Nejhua xnicmatisquia catlejhua on tlajtlacojli tla on tlanahuatijli xnechititisquia.In se ejemplo.Nejhua xnicmatisquia tlinon quijtosnequi niquelehuis on tlen teyaxca tla on tlanahuatijli xquijtosquia: “Ma ca xquelehui on tlen teyaxca.”","¿Qué, pues, diremos?¿Que la ley es pecado?¡De ninguna manera!Al contrario, yo no habría conocido el pecado sino por medio de la ley; porque no estaría consciente de la codicia, si la ley no dijera: No codiciarás"
necateh.,aquellos.
Ce kilo pitzonacatl,1 kilo de carne de puerco
Ayh niman hualmoman yn metztli de febrero; yquac ypan in onecico nican Mexico hueyapan yn motenehua atotoltin yn ayc onecia nican.,"Vino luego el mes de febrero; entonces aparecieron en la laguna de México los pelícanos, que antes no se veían por aquí."
In sesek.,Es frío.
"Pero xohuelquej ocalaquej, pampa miyec tlacatl ompa nemiya.Yejhua ica otlejcoquej icuapan on cajli.Niman ijcuac yoquejcuanijquej on tejas, oquitemoltijquej on cocoxqui ipan icojtlapech intlajcotian on tlacamej, niman melajqui ixpan Jesús.","Al no encontrar cómo hacerlo a causa de la multitud, subieron encima de la casa y juntamente con la camilla, le bajaron por el tejado en medio, delante de Jesús"
El licenciado Aller de Villagómez									   7,El licenciado Aller de Villagómez							   7
"Cuajli xmohuicacan para cuajli nenquiteititisquej ica yonencajcajquej nenquichihuaj on tlen xcuajli.Niman ma ca nemejhuamej nenquijtosquej: “Xitlaj huelis nochihuas totech, pampa titeconehuan itech Abraham.”Nejhua nemechijlia ica hasta in temej Dios huelis quincuepas teconehuan itech Abraham.","Producid, pues, fruto digno de arrepentimiento y no comencéis a decir dentro de vosotros mismos: ""A Abraham tenemos por padre.""Porque os digo que aun de estas piedras Dios puede levantar hijos a Abraham"
Amo ximomohtican ica in itlatzahtzil in amo cualli tlacatl.,No temáis las amenazas de este hombre falso.
"Kampa onkak, semi miak mochiua de tepeui, ixua in iteyotsin.","Donde hay uno, nacen varios porque cae la semilla y de ahí nacen."
Testigo Martin Jacobo namique ytlaxilacaltia San Martin Atezcapan macoc juramento ypaltzinco yn totecuyo dios yhuan yn cihuapilli Sancta Maria yhuan yn imachiyo Sancta Cruz oncan tlatlacoltiloc ynic melahuac quitoz yn tleyn tlatlaniloz yn tlamelahuac quitoz yquimotlaocoliliz yn dios yn tlacamo mictlan quitzacuctiaz. Auh yn yehuatl yuh quito ynic melahuac quitoz.,Testigo Martín Jacobo casado del tlaxcilacalli de San Martín Atezcapan hizo juramento mediante dios nuestro señor y la Virgen Santa María y la señal de la Santa Cruz. Allí le fue impuesta pena para que diga la verdad de lo que le sea preguntado y si digiese la verdad dios le premiará y si no será castigado en el infierno. Y él así dijo que dirá la verdad.
In no kikouaskiaj komo onkaskia miak.,Si hubiera mucho si lo comprarían.
"Tla Dios quimaca cuenta ica itlajtlacolhuan yoquitlaxtlau ipampa on tlajtlamach yejhuan oquichiu, sa no Abraham huelisquia nohueyimatisquia ipampa on tlen cuajli oquichiu.Pero Abraham xitlaj oquichiu para huelis nohuiyimatis ixpan Dios.","Porque si Abraham fue justificado por las obras, tiene de qué gloriarse, pero no delante de Dios"
In kuouit.,Es árbol (kuouit).
O ca yehuatl in y yontlamanixti yntlahtol yn huehuetque; catlehuatl y neltiliztli?,Estas son las dos versiones de los antiguos; ¿cuál de ellas será la verdadera?
